name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,57.1,67.9,104.6,131.1,158.0,194.9,224.2,254.8,297.6,331.8,367.7
JC02,56.7,67.5,103.9,130.2,156.9,193.6,222.6,253.0,295.5,329.5,365.2
JC03,53.4,63.4,97.7,122.5,147.6,182.1,209.4,238.0,278.0,309.9,343.5
JC04,61.0,72.6,111.8,140.1,168.8,208.2,239.5,272.2,317.9,354.4,392.8
JC05,61.5,73.1,112.6,141.1,170.1,209.8,241.3,274.3,320.3,357.2,395.8
JC06,52.5,62.5,96.2,120.6,145.3,179.2,206.1,234.3,273.6,305.1,338.1
JC07,54.9,65.3,100.5,126.0,151.8,187.3,215.4,244.8,285.9,318.8,353.3
JC08,52.1,61.9,95.4,119.6,144.1,177.7,204.4,232.4,271.4,302.6,335.4
JC09,58.3,69.3,106.8,133.9,161.3,199.0,228.9,260.1,303.8,338.7,375.4
JC10,62.1,73.9,113.8,142.6,171.8,211.9,243.8,277.1,323.6,360.8,399.9
